descricao_pedido,quantidade
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO RECURSO ORDINÁRIO EM HABEAS CORPUS,2
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO HABEAS CORPUS,217
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO PEDIDO DE EXTENSÃO NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO PEDIDO DE QUEBRA DE SIGILO DE DADOS E/OU TELEFÔNICO,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO RECURSO DE HABEAS CORPUS,39
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO RECURSO EM MANDADO DE SEGURANÇA,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,38
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,11
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO HABEAS CORPUS,3
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ORDINÁRIO EM HABEAS CORPUS,2
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,6
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NO CONFLITO DE COMPETÊNCIA,47
AGRAVO REGIMENTAL NO HABEAS CORPUS,16250
AGRAVO REGIMENTAL NO HABEAS DATA,1
AGRAVO REGIMENTAL NO INCIDENTE DE ASSUNÇÃO DE COMPETÊNCIA NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO INQUÉRITO,11
AGRAVO REGIMENTAL NO MANDADO DE SEGURANÇA,25
AGRAVO REGIMENTAL NO PEDIDO DE EXTENSÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO PEDIDO DE EXTENSÃO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NO PEDIDO DE EXTENSÃO NO HABEAS CORPUS,24
AGRAVO REGIMENTAL NO PEDIDO DE EXTENSÃO NO RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NO PEDIDO DE EXTENSÃO NO RECURSO ORDINÁRIO EM HABEAS CORPUS,7
AGRAVO REGIMENTAL NO PEDIDO DE EXTENSÃO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO REGIMENTAL NO PEDIDO DE QUEBRA DE SIGILO DE DADOS E/OU TELEFÔNICO,2
AGRAVO REGIMENTAL NO PEDIDO DE RECONSIDERAÇÃO NA AÇÃO PENAL,1
AGRAVO REGIMENTAL NO PEDIDO DE RECONSIDERAÇÃO NA PETIÇÃO,1
AGRAVO REGIMENTAL NO PEDIDO DE RECONSIDERAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO PEDIDO DE RECONSIDERAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO PEDIDO DE RECONSIDERAÇÃO NO HABEAS CORPUS,5
AGRAVO REGIMENTAL NO PEDIDO DE RECONSIDERAÇÃO NO PEDIDO DE EXTENSÃO NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NO PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NA PETIÇÃO NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NO PEDIDO DE RETIRADA DE PAUTA NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO PEDIDO DE RETIRADA DE PAUTA NO AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO PEDIDO DE RETIRADA DE PAUTA NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NO PEDIDO DE RETIRADA DE PAUTA NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO PEDIDO DE TUTELA PROVISÓRIA,4
AGRAVO REGIMENTAL NO RECURSO EM MANDADO DE SEGURANÇA,166
AGRAVO REGIMENTAL NO RECURSO ESPECIAL,2514
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NA PETIÇÃO NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,18
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,11
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,6
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NOS AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,3
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO RECURSO EM HABEAS CORPUS,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,22
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,3
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,5
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO PEDIDO DE RECONSIDERAÇÃO NA PETIÇÃO NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,5
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,6
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DO ACUSADO,1
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO HABEAS CORPUS,2
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,3
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ORDINÁRIO EM HABEAS CORPUS,2
AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,3
AGRAVO REGIMENTAL NO RECURSO ORDINÁRIO EM HABEAS CORPUS,3134
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA ALIENAÇÃO DE BENS DO ACUSADO,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA AÇÃO PENAL,4
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO,3
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NA AÇÃO PENAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA RECLAMAÇÃO,3
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA REVISÃO CRIMINAL,3
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA TUTELA PROVISÓRIA INCIDENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NA TUTELA PROVISÓRIA INCIDENTAL NO RECURSO ORDINÁRIO EM HABEAS CORPUS,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,289
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NA PETIÇÃO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,42
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,7
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO MANDADO DE SEGURANÇA,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO DE HABEAS CORPUS,3
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,5
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,8
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO CONFLITO DE COMPETÊNCIA,3
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO HABEAS CORPUS,365
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO MANDADO DE SEGURANÇA,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE EXTENSÃO NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE EXTENSÃO NO RECURSO ORDINÁRIO EM HABEAS CORPUS,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE RECONSIDERAÇÃO NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE RECONSIDERAÇÃO NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE TUTELA PROVISÓRIA,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO DE HABEAS CORPUS,115
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,11
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,152
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NA RECLAMAÇÃO,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,15
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO HABEAS CORPUS,13
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM HABEAS CORPUS,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,6
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ORDINÁRIO EM HABEAS CORPUS,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,26
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,6
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGENCIA EM AGRAVO,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGENCIA EM RECURSO ESPECIAL,55
AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,225
AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA NA PETIÇÃO,2
AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,5
AGRAVO REGIMENTAL NOS EMBARGOS DE TERCEIRO,2
AGRAVO REGIMENTAL NOS EMBARGOS DO ACUSADO,6
AGRAVO REGIMENTAL NOS EMBARGOS À EXECUÇÃO EM MANDADO DE SEGURANÇA,1
APELAÇÃO CIVEL,1
AÇÃO PENAL,19
AÇÃO RESCISÓRIA,163
CONFLITO DE COMPETENCIA,153
DESISTÊNCIA NO AGRAVO EM RECURSO ESPECIAL,1
DESISTÊNCIA NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,2
DESISTÊNCIA NO RECURSO ESPECIAL,4
DESISTÊNCIA NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
DESISTÊNCIA NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
EMB. DE DECL. NOS EMB. DE DECL. NOS EMB. DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMB. DE DECLARAÇÃO NOS EMB. DE DECLARAÇÃO NOS EMB. DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMB. DE DECLARAÇÃO NOS EMB. DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
EMB. DE DECLARAÇÃO NOS EMB. DE DECLARAÇÃO NOS EMB. DE DECLARAÇÃO NO AGRAVO INTERNO NO REC. EXTRAORDINÁRIO NOS EMB. DE DECLARAÇÃO NOS EMB. DE DECLARAÇÃO NOS EMB. DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMB. DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO,1
EMB. DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NA AÇÃO PENAL,6
EMBARGOS DE DECLARAÇÃO NA AÇÃO RESCISORIA,22
EMBARGOS DE DECLARAÇÃO NA CAUTELAR INOMINADA CRIMINAL,1
EMBARGOS DE DECLARAÇÃO NA DESISTÊNCIA NO AGRAVO EM RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NA HOMOLOGAÇÃO DE DECISÃO ESTRANGEIRA,2
EMBARGOS DE DECLARAÇÃO NA INTERVENÇÃO FEDERAL,1
EMBARGOS DE DECLARAÇÃO NA PETIÇÃO,4
EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NA PROPOSTA DE AFETAÇÃO NO RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO HABEAS CORPUS,1
EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO RECURSO EM HABEAS CORPUS,1
EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO RECURSO ESPECIAL,2
EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NA PROPOSTA DE AFETAÇÃO NO RECURSO ESPECIAL,6
EMBARGOS DE DECLARAÇÃO NA RECLAMAÇÃO,3
EMBARGOS DE DECLARAÇÃO NA REVISÃO CRIMINAL,1
EMBARGOS DE DECLARAÇÃO NA TUTELA PROVISÓRIA INCIDENTAL NO MANDADO DE SEGURANÇA,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO DE INSTRUMENTO,3
EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,98
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO EXCEÇÃO DE IMPEDIMENTO/SUSPEIÇÃO NO MANDADO DE SEGURANÇA,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA AÇÃO RESCISÓRIA,6
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA EXCEÇÃO DE IMPEDIMENTO,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,8
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA HOMOLOGAÇÃO DE DECISÃO ESTRANGEIRA,3
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA IMPUGNAÇÃO À EXECUÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,4
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA PETIÇÃO,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA PETIÇÃO NA RECLAMAÇÃO,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA PETIÇÃO NO AGRAVO EM RECURSO ESPECIAL,4
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA PETIÇÃO NO MANDADO DE SEGURANÇA,2
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA PETIÇÃO NO RECURSO ESPECIAL,2
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA RECLAMAÇÃO,11
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA SUSPENSÃO DE LIMINAR E DE SENTENÇA,3
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA SUSPENSÃO DE SEGURANÇA,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA TUTELA ANTECIPADA ANTECEDENTE,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA TUTELA CAUTELAR ANTECEDENTE,2
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA TUTELA PROVISÓRIA INCIDENTAL NA AÇÃO RESCISÓRIA,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA TUTELA PROVISÓRIA NO RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO DE INSTRUMENTO,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1214
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,47
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO INTERNO NO MANDADO DE SEGURANÇA,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,1
EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO MANDADO DE SEGURANÇA,8
