processo,tese,ementa,relator,data_publicacao,classe_processual
AR 1606 AgR-QO,,"E M E N T A: RECURSO DE AGRAVO - ANTECIPAÇÃO DOS EFEITOS DA TUTELA JURISDICIONAL EM SEDE DE AÇÃO RESCISÓRIA - INDEFERIMENTO - FALTA DE VEROSSIMILHANÇA DAS ALEGAÇÕES DEDUZIDAS PELA PARTE REQUERENTE - AUSÊNCIA DOS PRESSUPOSTOS NECESSÁRIOS À CONCESSÃO DO PROVIMENTO ANTECIPATÓRIO - RECURSO DE AGRAVO NÃO CONHECIDO - DECISÃO REFERENDADA PELO PLENÁRIO DO SUPREMO TRIBUNAL FEDERAL.



           A DECISÃO PROFERIDA “AD REFERENDUM” DE ÓRGÃO COLEGIADO DO SUPREMO TRIBUNAL FEDERAL NÃO COMPORTA A INTERPOSIÇÃO DE RECURSO DE AGRAVO.



            - As decisões monocráticas passíveis de referendo, veiculadoras de provimentos jurisdicionais de urgência (RISTF, art. 21, V), revelam-se insuscetíveis de impugnação mediante recurso de agravo. Onde se impuser a exigência de referendo por órgão colegiado do Supremo Tribunal Federal, aí não caberá, por inadmissível, a interposição de recurso de agravo. Precedentes.



           É DEVER PROCESSUAL DO AUTOR DEMONSTRAR A VEROSSIMILHANÇA DAS ALEGAÇÕES POR ELE DEDUZIDAS, COMO, TAMBÉM, OS PRESSUPOSTOS AUTORIZADORES DA CONCESSÃO DO PROVIMENTO ANTECIPATÓRIO (CPC, art. 273, I e II).



           - A mera alegação de receio de dano irreparável não basta, só por si, sem a pertinente comprovação, para viabilizar a antecipação dos efeitos da tutela, notadamente em situações processuais em que se pretende a paralisação da eficácia de um ato decisório revestido da autoridade da coisa julgada em sentido material.



           - A concessão de tutela antecipada condiciona-se ao cumprimento, pela parte requerente, do dever processual de demonstrar a verossimilhança das alegações por ela deduzidas, além de comprovar qualquer dos pressupostos autorizadores da concessão do provimento antecipatório (CPC, art. 273, I e II): (a) existência de fundado receio de dano irreparável ou de difícil reparação ou (b) caracterização do abuso do direito de defesa ou de manifesto propósito protelatório do réu.



           EXCEPCIONALIDADE DA CONCESSÃO DE MEDIDA SUSPENSIVA DE EFICÁCIA NAS AÇÕES RESCISÓRIAS. 



           - Hão de ser extremamente graves os fundamentos invocados em sede rescisória para que o Tribunal possa expedir provimento excepcional, destinado a neutralizar, ainda que temporariamente, a eficácia jurídica emergente da coisa julgada, que constitui instrumento de vital importância na preservação da segurança jurídica.



           CARÁTER ALIMENTAR DA REMUNERAÇÃO DEVIDA AO SERVIDOR PÚBLICO.



           - Tendo em consideração a natureza alimentar dos estipêndios percebidos pelo réu, não se evidencia, no caso, a situação configuradora de potencialidade danosa para o Estado, eis que, na realidade, a eventual antecipação dos efeitos da tutela jurisdicional, tal como pretendida, importará em inversão dos riscos para o servidor público.",CELSO DE MELLO,2013-10-15,QUESTÃO DE ORDEM NO AG.REG. NA AÇÃO RESCISÓRIA
Pet 3593 QO,,"E M E N T A: ""NOTITIA CRIMINIS"" - PREMATURA INSTAURAÇÃO DE
   INVESTIGAÇÃO PENAL POR CRIME CONTRA A ORDEM TRIBUTÁRIA -
   IMPOSSIBILIDADE - AUSÊNCIA DE TIPICIDADE PENAL - CRÉDITO
   TRIBUTÁRIO AINDA NÃO CONSTITUÍDO DEFINITIVAMENTE - PROCEDIMENTO
   ADMINISTRATIVO-FISCAL AINDA EM CURSO - RECONHECIMENTO DA
   CONFIGURAÇÃO DE CONDUTA TÍPICA SOMENTE POSSÍVEL APÓS A DEFINITIVA
   CONSTITUIÇÃO DO CRÉDITO TRIBUTÁRIO - INVIABILIDADE DA INSTAURAÇÃO
   DA PERSECUÇÃO PENAL, MESMO EM SEDE DE INQUÉRITO POLICIAL,
   ENQUANTO A CONSTITUIÇÃO DO CRÉDITO TRIBUTÁRIO NÃO SE REVESTIR DE
   DEFINITIVIDADE - AUSÊNCIA DE JUSTA CAUSA PARA A ""PERSECUTIO
   CRIMINIS"", SE INSTAURADO INQUÉRITO POLICIAL OU AJUIZADA AÇÃO
   PENAL ANTES DE ENCERRADO, EM CARÁTER DEFINITIVO, O PROCEDIMENTO
   ADMINISTRATIVO-FISCAL - OCORRÊNCIA, EM TAL SITUAÇÃO, DE INJUSTO
   CONSTRANGIMENTO, PORQUE DESTITUÍDA DE TIPICIDADE PENAL A CONDUTA
   OBJETO DE INVESTIGAÇÃO PELO PODER PÚBLICO - CONSEQÜENTE
   IMPOSSIBILIDADE DE PROSSEGUIMENTO DOS ATOS PERSECUTÓRIOS -
   INVALIDAÇÃO, DESDE A ORIGEM, POR AUSÊNCIA DE FATO TÍPICO, DO
   PROCEDIMENTO DE PERSECUÇÃO PENAL - PRECEDENTES DO SUPREMO
   TRIBUNAL FEDERAL - QUESTÃO DE ORDEM QUE SE RESOLVE PELA CONCESSÃO,
   DE OFÍCIO, DE ""HABEAS CORPUS"".
- Enquanto o crédito
   tributário não se constituir, definitivamente, em sede
   administrativa, não se terá por caracterizado, no plano da
   tipicidade penal, o crime contra a ordem tributária, tal como
   previsto no art. 1º da Lei nº 8.137/90. É que, até então, não
   havendo sido ainda reconhecida a exigibilidade do crédito
   tributário (""an debeatur"") e determinado o respectivo valor
   (""quantum debeatur""), estar-se-á diante de conduta absolutamente
   desvestida de tipicidade penal.
- A instauração de persecução
   penal, desse modo, nos crimes contra a ordem tributária definidos
   no art. 1º da Lei  nº 8.137/90 somente se legitimará, mesmo em
   sede de investigação policial, após a definitiva constituição do
   crédito tributário, pois, antes que tal ocorra, o comportamento
   do agente será penalmente irrelevante, porque manifestamente
   atípico. Precedentes.
- Conseqüente impossibilidade de se
   ordenar o mero sobrestamento dos atos de investigação, para que
   se aguarde a ulterior e definitiva constituição do crédito
   tributário. Não-acolhimento, no ponto, da proposta formulada pelo
   Ministério Público Federal.
- Se o Ministério Público, no
   entanto, independentemente da ""representação fiscal para fins
   penais"" a que se refere o art. 83 da Lei nº 9.430/96, dispuser,
   por outros meios, de elementos que lhe permitam comprovar a
   definitividade da constituição do crédito tributário, poderá,
   então, de modo legítimo, fazer instaurar os pertinentes atos de
   persecução penal por delitos contra a ordem tributária.
- A
   questão do início da prescrição penal nos delitos contra a ordem
   tributária. Precedentes.",CELSO DE MELLO,2007-03-02,QUESTÃO DE ORDEM NA PETIÇÃO
MS 22472 QO,,"EMENTA: - Mandado de segurança. Questão de ordem.
Incompetência do S.T.F.
           - A competência excepcional conferida pelo artigo 102, I,
""n"", da Constituição Federal a esta Corte não abrange hipóteses -
como a presente de paralisação total dos órgãos de primeiro e de
segundo grau do Poder Judiciário de um Estado-membro, porquanto a
primeira hipótese prevista no citado dispositivo constitucional diz
respeito à existência de interesse direto ou indireto de todos os
membros da magistratura que tenham competência para julgar a causa,
e não ao seu impedimento qualquer que seja o motivo dele; e, no
tocante à segunda hipótese, diz ela respeito ao interesse direto ou
indireto, na causa, de mais da metade dos membros do tribunal de
origem, ou ao impedimento deles, impedimento esse que é o decorrente
da Lei, como o são os relacionados no artigo 134 do Código de
Processo Civil.
           - Diante, porém, de obstáculo dessa natureza ao exercício
do direito fundamental ao acesso ao Poder Judiciário previsto no
artigo 5º, XXXV, da Carta Magna, determina-se ao Presidente do
Tribunal de Justiça do Estado de Alagoas que organize um plantão de
juízes para a adoção das medidas judiciais de urgência que lhe forem
requeridas, ou então, não o fazendo, chame a si a adoção dessas
medidas que não podem aguardar que cesse a paralisação do Poder
Judiciário do referido Estado-membro.
           Mandado de segurança não conhecido, determinando-se o
encaminhamento dos autos à Presidência do Tribunal de Justiça do
Estado de Alagoas.",MOREIRA ALVES,2001-03-23,QUESTÃO DE ORDEM NO MANDADO DE SEGURANÇA
RE 318469 EDv-QO,,"E M E N T A: EMBARGOS DE DIVERGÊNCIA - PRESSUPOSTOS FORMAIS
DE SUA UTILIZAÇÃO - CRITÉRIO DA DIVERSIDADE ORGÂNICA
(SÚMULA 353/STF) - PADRÃO DE DIVERGÊNCIA QUE EMANOU DA MESMA TURMA
QUE PROFERIU A DECISÃO EMBARGADA - COMPOSIÇÃO SUBSTANCIALMENTE
IDÊNTICA DESSE ÓRGÃO FRACIONÁRIO - EMBARGOS DE DIVERGÊNCIA NÃO
ADMITIDOS.
- Os embargos de divergência estão sujeitos, dentre os
vários pressupostos que lhe condicionam a interposição, à
observância do requisito da diversidade orgânica.
Esse requisito impõe que o padrão de divergência - para ser
validamente invocado como expressão do dissídio interpretativo -
resulte de acórdão emanado, ou do Plenário ou de outra Turma do
Supremo Tribunal Federal, pois não se reveste de idoneidade
processual, para efeito de demonstração do conflito pretoriano, a
indicação de acórdão proferido pela própria Turma de que proveio a
decisão contra a qual foram opostos os embargos de divergência
(Súmula 353/STF), ressalvada a hipótese excepcional de a Turma haver
sofrido substancial modificação em sua composição. Precedentes.
- Inocorrência, na espécie, dessa hipótese excepcional,
pois os acórdãos em confronto emanaram da mesma Turma cuja
composição majoritária - quatro (4) Ministros, no caso - manteve-se
substancialmente inalterada.",CELSO DE MELLO,2002-10-11,QUESTÃO DE ORDEM NOS EMB.DIV. NO RECURSO EXTRAORDINÁRIO
ADI 3929 MC-QO,,"QUESTÃO DE ORDEM. AÇÃO DIRETA DE INCONSTITUCIONALIDADE. PEDIDO DE
   MEDIDA CAUTELAR. DEFERIMENTO, PELA PRESIDÊNCIA, NO PERÍODO DE
   FÉRIAS FORENSES DO TRIBUNAL. ARTIGOS 10, CAPUT, DA LEI 9.868/99,
   E 13, VIII, DO RISTF. RELATORIA DO REFERENDO PLENÁRIO ATRIBUÍDA À
   PRÓPRIA PRESIDENTE, POR FORÇA DA EXCEPCIONALIDADE DO CASO
   CONCRETO. POSSIBILIDADE.
1. O caput do art. 10 da Lei 9.868/99
   autoriza, nos períodos de recesso da Corte, a excepcional
   concessão monocrática da medida cautelar em ação direta de
   inconstitucionalidade.
2. Por imposição do artigo 21, incisos IV
   e V, do Regimento Interno, as decisões liminares concedidas pela
   Presidência nessas circunstâncias são depois submetidas à
   referendo do Colegiado, normalmente após a distribuição dos autos
   da ação direta a um determinado relator superveniente.
3.
   Peculiaridades presentes que recomendam a exposição do caso pelo
   próprio órgão prolator da decisão trazida a referendo do Plenário
   do Supremo Tribunal Federal.
4. Questão de ordem resolvida no
   sentido de autorizar a Presidência, excepcionalmente, a relatar o
   referendo da decisão cautelar monocrática proferida nos autos da
   presente ação direta.",ELLEN GRACIE,2007-10-11,QUESTÃO DE ORDEM NA MEDIDA CAUTELAR NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE
RE 593995 QO,,"Ementa: PROCESSUAL CIVIL. QUESTÃO DE ORDEM. REPERCUSSÃO GERAL. ALCANCE. MATÉRIA INFRACONSTITUCIONAL INCAPAZ DE PREJUDICAR NEM DE INFLUENCIAR O CERNE DO RECURSO EXTRAORDINÁRIO. CORRETA DEVOLUÇÃO DOS AUTOS À ORIGEM.



    A pretensão jurisdicional da recorrente é composta por dois pedidos: o reconhecimento da inconstitucionalidade de tributo e a devolução dos valores indevidamente arrecadados pelo Estado.



    Com o reconhecimento da repercussão geral acerca da matéria de alçada constitucional (a inconstitucionalidade da Contribuição destinada ao Custeio de Serviços de Saúde de exclusiva fruição dos servidores públicos locais), devem os autos serem devolvidos ao Tribunal de origem, segundo disposto pelo art. 543-B do CPC.



    A existência de pedido que deve ser examinado exclusivamente à luz da legislação infraconstitucional (a repetição de indébito) não impede a devolução dos autos. Compete ao Tribunal de origem exercer a jurisdição nos limites de suas atribuições constitucionais e legais.



    Voto-vista do eminente Ministro Marco Aurélio, convergente quanto ao resultado, porém por fundamentos diversos.



    Questão de ordem acolhida para devolver definitivamente os autos ao Tribunal de origem.",JOAQUIM BARBOSA,2014-06-17,QUESTÃO DE ORDEM NO RECURSO EXTRAORDINÁRIO
ADI 2551 MC-QO,,"E M E N T A: AÇÃO DIRETA DE INCONSTITUCIONALIDADE - TAXA DE
EXPEDIENTE DO ESTADO DE MINAS GERAIS - DPVAT - INCIDÊNCIA DA
REFERIDA TAXA DE EXPEDIENTE SOBRE AS SOCIEDADES SEGURADORAS -
ALEGAÇÃO DE ILEGITIMIDADE ATIVA DAS ENTIDADES SINDICAIS QUE FIZERAM
INSTAURAR O PROCESSO DE FISCALIZAÇÃO NORMATIVA ABSTRATA -
INOCORRÊNCIA - PERTINÊNCIA TEMÁTICA CONFIGURADA - ALEGADA UTILIZAÇÃO
 DO CONTROLE NORMATIVO ABSTRATO PARA A DEFESA DE INTERESSES
INDIVIDUAIS E CONCRETOS - NÃO-CARACTERIZAÇÃO - RECONHECIMENTO, PELO
RELATOR DA CAUSA, DE QUE SE REVESTE DE DENSIDADE JURÍDICA A
PRETENSÃO DE INCONSTITUCIONALIDADE DEDUZIDA PELOS LITISCONSORTES
ATIVOS - INOBSERVÂNCIA, NA ESPÉCIE, DA RELAÇÃO DE RAZOÁVEL
EQUIVALÊNCIA QUE NECESSARIAMENTE DEVE HAVER ENTRE O VALOR DA TAXA E
O CUSTO DO SERVIÇO PRESTADO OU POSTO À DISPOSIÇÃO DO CONTRIBUINTE -
OFENSA AOS PRINCÍPIOS CONSTITUCIONAIS DA NÃO-    -CONFISCATORIEDADE
(CF, ART. 150, IV) E DA PROPORCIONALIDADE (CF, ART. 5º, LIV) -
ENTENDIMENTO DO RELATOR DE QUE, NÃO OBSTANTE CONFIGURADO O REQUISITO
 PERTINENTE À PLAUSIBILIDADE JURÍDICA, NÃO SE REVELA PRESENTE, NO
CASO, O PRESSUPOSTO DO ""PERICULUM IN MORA"" - DECISÃO DO PLENÁRIO, NO
 ENTANTO, QUE RECONHECEU CONFIGURADA, NA ESPÉCIE, A SITUAÇÃO
CARACTERIZADORA DO ""PERICULUM IN MORA"", O QUE O LEVOU A NÃO
REFERENDAR, POR TAL RAZÃO, A DECISÃO DO RELATOR - CONSEQÜENTE
DEFERIMENTO DA MEDIDA CAUTELAR.
INADEQUAÇÃO DO CONTROLE
NORMATIVO ABSTRATO PARA A DEFESA DE INTERESSES INDIVIDUAIS E
CONCRETOS: SITUAÇÃO INOCORRENTE NA ESPÉCIE. CONSEQÜENTE IDONEIDADE
JURÍDICA DO MEIO PROCESSUAL UTILIZADO.
- O controle normativo de
constitucionalidade qualifica-se como típico processo de caráter
objetivo, vocacionado, exclusivamente, à defesa, em tese, da
harmonia do sistema constitucional. A instauração desse processo
objetivo tem por função instrumental viabilizar o julgamento da
validade abstrata do ato estatal em face da Constituição da
República. O exame de relações jurídicas concretas e individuais
constitui matéria juridicamente estranha ao domínio do processo de
controle concentrado de constitucionalidade.
A tutela
jurisdicional de situações individuais, uma vez suscitada a
controvérsia de índole constitucional, há de ser obtida na via do
controle difuso de constitucionalidade, que, supondo a existência de
 um caso concreto, revela-se acessível a qualquer pessoa que
disponha de interesse e legitimidade (CPC, art. 3º).
A GARANTIA
 CONSTITUCIONAL DA NÃO-CONFISCATORIEDADE.
- O ordenamento
constitucional brasileiro, ao definir o estatuto dos contribuintes,
instituiu, em favor dos sujeitos passivos que sofrem a ação fiscal
dos entes estatais, expressiva garantia de ordem jurídica que
limita, de modo significativo, o poder de tributar de que o Estado
se acha investido. Dentre as garantias constitucionais que protegem
o contribuinte, destaca-se, em face de seu caráter eminente, aquela
que proíbe a utilização do tributo - de qualquer tributo - com
efeito confiscatório (CF, art. 150, IV).
- A Constituição da
República, ao consagrar o postulado da não-confiscatoriedade, vedou
qualquer medida, que, adotada pelo Estado, possa conduzir, no campo
da fiscalidade, à injusta apropriação estatal do patrimônio ou dos
rendimentos dos contribuintes, comprometendo-lhes, em função da
insuportabilidade da carga tributária, o exercício a uma existência
digna, ou a prática de atividade profissional lícita, ou, ainda, a
regular satisfação de suas necessidades vitais (educação, saúde e
habitação, p. ex.).
- Conceito de tributação confiscatória:
jurisprudência constitucional do Supremo Tribunal Federal (ADI
2.010-MC/DF, Rel. Min. CELSO DE MELLO, v.g.) e o magistério da
doutrina. A questão da insuportabilidade da carga
tributária.
TAXA: CORRESPONDÊNCIA ENTRE O VALOR EXIGIDO E O
CUSTO DA ATIVIDADE ESTATAL.
- A taxa, enquanto contraprestação a
uma atividade do Poder Público, não pode superar a relação de
razoável equivalência que deve existir entre o custo real da atuação
 estatal referida ao contribuinte e o valor que o Estado pode exigir
 de cada contribuinte, considerados, para esse efeito, os elementos
pertinentes às alíquotas e à base de cálculo fixadas em lei.
- Se
 o valor da taxa, no entanto, ultrapassar o custo do serviço
prestado ou posto à disposição do contribuinte, dando causa, assim,
a uma situação de onerosidade excessiva, que descaracterize essa
relação de equivalência entre os fatores referidos (o custo real do
serviço, de um lado, e o valor exigido do contribuinte, de outro),
configurar-se-á, então, quanto a essa modalidade de tributo,
hipótese de ofensa à cláusula vedatória inscrita no art. 150, IV, da
 Constituição da República. Jurisprudência.
Doutrina.
TRIBUTAÇÃO E OFENSA AO PRINCÍPIO DA
PROPORCIONALIDADE.
- O Poder Público, especialmente em sede de
tributação, não pode agir imoderadamente, pois a atividade estatal
acha-se essencialmente condicionada pelo princípio da razoabilidade,
 que traduz limitação material à ação normativa do Poder
Legislativo.
- O Estado não pode legislar abusivamente. A
atividade legislativa está necessariamente sujeita à rígida
observância de diretriz fundamental, que, encontrando suporte
teórico no princípio da proporcionalidade, veda os excessos
normativos e as prescrições irrazoáveis do Poder Público.
O
princípio da proporcionalidade, nesse contexto, acha-se vocacionado
a inibir e a neutralizar os abusos do Poder Público no exercício de
suas funções, qualificando-se como parâmetro de aferição da própria
constitucionalidade material dos atos estatais.
- A prerrogativa
institucional de tributar, que o ordenamento positivo reconhece ao
Estado, não lhe outorga o poder de suprimir (ou de inviabilizar)
direitos de caráter fundamental constitucionalmente assegurados ao
contribuinte. É que este dispõe, nos termos da própria Carta
Política, de um sistema de proteção destinado a ampará-lo contra
eventuais excessos cometidos pelo poder tributante ou, ainda, contra
 exigências irrazoáveis veiculadas em diplomas normativos editados
pelo Estado.",CELSO DE MELLO,2006-04-20,QUESTÃO DE ORDEM NA MEDIDA CAUTELAR NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE
ACO 700 QO,,"TUTELA ANTECIPADA - AFASTAMENTO. A natureza precária e efêmera da
tutela antecipada viabiliza a revisão a qualquer momento.
        FUNDO
DE MANUTENÇÃO E DE DESENVOLVIMENTO DO ENSINO FUNDAMENTAL E DE
VALORIZAÇÃO DO MAGISTÉRIO - FUNDEF - ALTERAÇÃO DE VALORES - TUTELA
ANTECIPADA - IMPROPRIEDADE. A erronia dos valores observados há de
ficar demonstrada na fase de instrução da ação cível originária,
descabendo, ante a inexistência de verossimilhança da alegação,
implementar tutela antecipada com alcance de modificar quantias
praticadas, colocando em risco o sistema.
        TUTELA ANTECIPADA -
INDEFERIMENTO. Impõe-se o referendo de ato do relator que indefere
tutela antecipada, revendo-se o entendimento já externado, quando
constatado equívoco em pronunciamento anterior, a implicar
conseqüências danosas ao FUNDEF.",MARCO AURÉLIO,2005-08-26,QUESTÃO DE ORDEM NA AÇÃO CÍVEL ORIGINÁRIA
ACO 301 QO,,"- Denunciação da lide. Competência. Ação indenizatória (desapropriação
indireta) movida contra a União e a FUNAI, com denunciação da lide,
pelos autores, a seu antecessor não imediato (Estado de Mato
Grosso). Descabimernto. Exclusão deste do processo. Cessação da
competência originária do S.T.F. Remessa dos autos ao juízo federal
de origem (1º grau).
       A denunciação da lide, com base no inciso I do art. 70 do C.P.C.,
só é possível ao alienante imediato, não ""per saltum"", como já
decidiu o S.T.F. em vários precedentes.
       Se, com o descabimento da denunciação, cessa o litígio esboçado
entre o Estado e a União, cessa também a competência originária da
Corte.",SYDNEY SANCHES,1989-03-10,QUESTÃO DE ORDEM NA AÇÃO CÍVEL ORIGINÁRIA
AI 131455 QO,,"QUESTÃO DE ORDEM RELATIVA A COMPETÊNCIA PARA O JULGAMENTO DE AGRAVO
DE INSTRUMENTO OPOSTO A DECISÃO QUE NÃO ADMITIU RECURSO
EXTRAORDINÁRIO FUNDADO EM ALEGAÇÃO DE OFENSA A CONSTITUIÇÃO,
TENDO SIDO DETERMINADO O PROCESSAMENTO DA ARGÜIÇÃO DE RELEVÂNCIA
QUANTO AS ALEGAÇÕES DE NEGATIVA DE VIGENCIA DE TEXTOS LEGAIS E DE
DISSIDIO DE JURISPRUDÊNCIA RESTRITO AO ÂMBITO LEGAL, ARGÜIÇÃO
ESSA QUE FOI PROCESSADA POR FALTA DE OBSERVANCIA DO DISPOSTO
NO ARTIGO 328, PARAGRAFO 2., DO REGIMENTO INTERNO DESTA CORTE.
QUESTÃO DE ORDEM QUE SE DECIDE NO SENTIDO DE QUE EM HIPÓTESE COMO
A PRESENTE, A COMPETÊNCIA PARA O JULGAMENTO DO AGRAVO CONTINUA
A SER DO SUPREMO TRIBUNAL FEDERAL.",MOREIRA ALVES,1989-04-28,QUESTÃO DE ORDEM NO AGRAVO DE INSTRUMENTO
ACO 1480 QO,,"EMENTA: QUESTÃO DE ORDEM NA AÇÃO CÍVEL ORIGINÁRIA. TÍTULOS DE 
   PROPRIEDADE. ORIGEM EM OUTORGAS REALIZADAS PELO ESTADO DO PARANÁ. 
   ÁREA PERTENCENTE À UNIÃO. QUESTÃO DECIDIDA NA APELAÇÃO CÍVEL N. 
   9.621/PR. COISA JULGADA. AÇÃO CIVIL PÚBLICA. DECLARAÇÃO DE NULIDADE 
   DESSES TÍTULOS. CONFLITO FEDERATIVO. INEXISTÊNCIA. AUSÊNCIA DE 
   HIPÓTESE INSTAURADORA DA COMPETÊNCIA DO SUPREMO TRIBUNAL FEDERAL 
   (ART. 102, INC. I, AL. F, DA CONSTITUIÇÃO DA REPÚBLICA).
1. A única 
   questão envolvendo a contraposição de interesses substanciais entre 
   a União e o Estado do Paraná já foi apreciada e definitivamente 
   resolvida por este Supremo Tribunal no julgamento dos Embargos de 
   Terceiros opostos na Apelação Cível n. 9.621/PR (RTJ 31/59 e 32/73). 
   Declarada a inexistência de qualquer direito do Estado do Paraná 
   sobre essas terras em acórdão já transitado em julgado, não há falar 
   em sua atuação como litisconsorte, seja nas ações civis públicas, 
   seja nas ações de desapropriação e seus incidentes.
2. A ausência 
   do ente federado alienante como antecessor imediato na cadeia 
   dominial em relação aos expropriados impede a sua intervenção no 
   feito, por denunciação à lide. Precedentes.
3. Os limites da 
   discussão que envolve o interesse jurídico do Estado do Paraná na 
   causa equiparam-no a um assistente simples ad adjuvandum e não 
   litisconsorcial, o que, segundo entendimento assentado por este 
   Supremo Tribunal, afasta a incidência do permissivo constitucional 
   da alínea f. Precedentes.
4. O tema referente à nulidade dos 
   títulos de propriedade outorgados pelo Estado do Paraná na área 
   discutida na Apelação Cível n. 9.621/PR está sob apreciação deste 
   Supremo Tribunal nas Reclamações ns. 1.074 (Rel. Min. Sepúlveda 
   Pertence) e 2.788 (Rel. Min. Cezar Peluso), ambas com julgamento já 
   iniciado, o que torna recomendável o sobrestamento das várias ações 
   nas quais suscitada essa questão até o trânsito em julgado dessas 
   reclamações.
Questão de ordem que se resolve no sentido de declarar 
   a incompetência do Supremo Tribunal Federal, determinando o retorno 
   dos autos ao juízo de origem e comunicando a Procuradoria-Geral da 
   República para que providencie a devolução a este Supremo Tribunal 
   dos autos de ações nas quais se apresente a mesma questão, sem a 
   necessidade de juntada de parecer.",CÁRMEN LÚCIA,2010-08-20,QUESTÃO DE ORDEM NA AÇÃO CÍVEL ORIGINÁRIA
Rp 1346 QO,,"- REPRESENTAÇÃO POR INCONSTITUCIONALIDADE. PROMULGAÇÃO DO NOVO
TEXTO CONSTITUCIONAL. PREJUDICIALIDADE.
SE A REPRESENTAÇÃO DISCUTE A CONSTITUCIONALIDADE DE NORMAS
ORDINARIAS EM FACE DA CARTA DE 1967-69, FICA ELA PREJUDICADA POR
FORÇA DA EXTINÇÃO DESSE PARAMETRO, DESDE QUE PROMULGADA A
CONSTITUIÇÃO DE 1988",FRANCISCO REZEK,1988-12-09,QUESTÃO DE ORDEM NA REPRESENTAÇÃO
Rp 1529 QO,,"- REPRESENTAÇÃO POR INCONSTITUCIONALIDADE. PROMULGAÇÃO DO NOVO
TEXTO CONSTITUCIONAL. PREJUDICIALIDADE.
SE A REPRESENTAÇÃO DISCUTE A CONSTITUCIONALIDADE DE NORMAS
ORDINARIAS EM FACE DA CARTA DE 1967-69, FICA ELA PREJUDICADA POR
FORÇA DA EXTINÇÃO DESSE PARAMETRO, DESDE QUE PROMULGADA A
CONSTITUIÇÃO DE 1988.",FRANCISCO REZEK,1988-12-09,QUESTÃO DE ORDEM NA REPRESENTAÇÃO
Ext 579 QO,,"E  M  E  N  T A  -  EXTRADIÇÃO  -  CONTROLE  JURISDICIONAL -
HOMICIDIO  COMETIDO  NO  BRASIL  -  INSTAURAÇÃO,  POR  INICIATIVA DAS
AUTORIDADES   BRASILEIRAS,   DA   ""PERSECUTIO   CRIMINIS""   CONTRA  O
EXTRADITANDO  - HIPÓTESE DE  EXTRADIÇÃO VEDADA (LEI N. 6.815/80, ART.
77,  V) -  INDEFERIMENTO LIMINAR  DO  PEDIDO EXTRADICIONAL  QUANTO AO
CRIME  DE HOMICIDIO - PROSSEGUIMENTO DO PROCESSO DE EXTRADIÇÃO NO QUE
SE  REFERE AO  DELITO  DE ESTELIONATO,  EM  SUA MODALIDADE  TENTADA -
PRISÃO DO EXTRADITANDO DECRETADA PELO TRIBUNAL.
         -  O sudito  estrangeiro, que  ja esta  sendo submetido, por
iniciativa  das autoridades  brasileiras, a  atos de persecução penal
por  suposta  pratica  do  mesmo delito  em  que  se  funda  o pedido
extradicional,  não  pode  ser extraditado  pelo  Governo  do Brasil.
Trata-se   de hipótese de extradição vedada pelo ordenamento positivo
nacional (Lei n. 6.815/80, art. 77, V). Essa circunstancia autoriza o
Supremo  Tribunal Federal  a indeferir,  desde logo,  liminarmente, o
pedido extradicional, ainda que o Estado requerente haja comprovado a
possibilidade de aplicação extraterritorial de sua propria legislação
penal.  O concurso de jurisdições penais resolve-se, em tal situação,
pela  prevalencia da jurisdição  brasileira, a cujos órgãos incumbe a
resolução  do litigio instaurado  pela pratica  de delito cometido em
território do Brasil.
         -   Nenhum pedido  de extradição  tera  andamento sem  que o
extraditando  seja preso e colocado  a disposição do STF. Essa prisão
de natureza cautelar destina-se, em sua precipua função instrumental,
a assegurar a execução de eventual ordem de extradição.
         A  decretação da  prisão pela  Suprema Corte  não invalida a
custodia  cautelar a  que ja  se  ache sujeito,  por outro  motivo, o
extraditando,  em  decorrência de  decisão  proferida  por magistrado
inferior.
         Nessa  situação,  e  ainda   que  por  titulos  diversos,  o
extraditando  ficara a disposição do  STF e do outro órgão judiciario
processante,   observada,  sempre,   a   precedencia  das   ordens  e
deliberações emanadas da Suprema Corte.",CELSO DE MELLO,1993-09-10,QUESTÃO DE ORDEM NA EXTRADIÇÃO
